datetime,day_o_week,time_in_trade,vola,long,short,buy_open,buy_close,sell_open,sell_close,pnl,pnl_ac,cr,cr_ac,pnl_plus,cr_plus
2025-01-01 18:00:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:05:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:10:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:15:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:20:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:25:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:30:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:35:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:40:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:45:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:50:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 18:55:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 19:00:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 19:05:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 19:10:00,2,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 19:15:00,2,1,,0.0,60.817905103303495,0.0,0.0,2240.8,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
2025-01-01 19:20:00,2,2,,0.0,60.817905103303495,0.0,0.0,2240.8,0.0,0.0,0.0,1.3131882106675623,1.241088210667562,0.0,1.2733877699813005
